1413815114.453309;m3-24;Acc;-7.306032E-2;3.4555554E-2;-9.9026346E-1
1413815114.453739;m3-25;Acc;-5.9311893E-2;1.5339282E-2;-9.806915E-1
1413815114.454201;m3-22;Acc;-4.0983643E-2;2.0991623E-2;-9.886055E-1
1413815114.454860;m3-23;Acc;-9.166011E-2;-2.6645381E-2;-9.869449E-1
1413815114.455444;m3-31;Acc;-1.3987055E-1;9.990754E-3;-9.860874E-1
1413815114.455966;m3-28;Acc;-7.6388076E-2;-8.384056E-3;-9.9118185E-1
1413815114.456267;m3-28;Acc;-7.82512E-2;-5.589371E-3;-9.921134E-1
1413815114.456949;m3-30;Acc;-1.2005447E-1;7.044518E-2;-9.8424816E-1
1413815114.457424;m3-26;Acc;-7.8225225E-2;3.168617E-2;-9.941535E-1
1413815114.457883;m3-27;Acc;-7.687144E-2;7.986643E-3;-9.863505E-1
1413815114.458348;m3-24;Acc;-7.207301E-2;3.3568256E-2;-9.882889E-1
1413815114.459017;m3-25;Acc;-5.8289275E-2;1.840714E-2;-9.868272E-1
1413815114.459529;m3-22;Acc;-4.2982846E-2;2.0991623E-2;-9.886055E-1
1413815114.460134;m3-23;Acc;-1.01252444E-1;-2.238212E-2;-9.890765E-1
1413815114.460732;m3-31;Acc;-1.4486593E-1;1.0989829E-2;-9.880855E-1
1413815114.461035;m3-31;Acc;-1.4086963E-1;9.990754E-3;-9.850883E-1
1413815114.461538;m3-28;Acc;-7.545651E-2;-7.452495E-3;-9.9118185E-1
1413815114.462161;m3-29;Acc;-6.780381E-2;2.125194E-2;-9.9378115E-1
1413815114.462688;m3-29;Acc;-6.780381E-2;2.0239942E-2;-9.887212E-1
1413815114.463190;m3-30;Acc;-1.250154E-1;6.8460815E-2;-9.812716E-1
1413815114.463651;m3-26;Acc;-7.7235036E-2;3.465675E-2;-9.9217314E-1
1413815114.464252;m3-27;Acc;-7.5873114E-2;6.988313E-3;-9.9034375E-1
1413815114.464859;m3-24;Acc;-7.1085714E-2;3.5542857E-2;-9.9026346E-1
1413815114.465382;m3-25;Acc;-6.135713E-2;1.4316664E-2;-9.929629E-1
1413815114.465813;m3-22;Acc;-4.3982446E-2;2.4990028E-2;-9.8960507E-1
1413815114.466279;m3-23;Acc;-9.2725925E-2;-2.6645381E-2;-9.9014235E-1
1413815114.466963;m3-31;Acc;-1.4286777E-1;1.3987055E-2;-9.7809476E-1
1413815114.467459;m3-28;Acc;-7.545651E-2;-5.589371E-3;-9.893187E-1
1413815114.467982;m3-29;Acc;-6.274382E-2;2.0239942E-2;-9.8568517E-1
1413815114.468284;m3-29;Acc;-6.577981E-2;1.8215949E-2;-9.9782914E-1
1413815114.468796;m3-30;Acc;-1.21046655E-1;7.044518E-2;-9.763107E-1
1413815114.469398;m3-26;Acc;-7.525465E-2;3.5646938E-2;-9.872222E-1
1413815114.469974;m3-27;Acc;-7.5873114E-2;8.984974E-3;-9.8934543E-1
1413815114.470544;m3-24;Acc;-7.0098415E-2;3.4555554E-2;-9.873016E-1
1413815114.471007;m3-25;Acc;-6.033451E-2;1.2271427E-2;-9.909177E-1
1413815114.471708;m3-22;Acc;-4.1983247E-2;2.2990825E-2;-9.866063E-1
1413815114.472157;m3-23;Acc;-9.8055E-2;-2.7711196E-2;-9.9440557E-1
1413815114.472450;m3-23;Acc;-9.059429E-2;-2.238212E-2;-9.8268163E-1
1413815114.472957;m3-31;Acc;-1.4286777E-1;9.990754E-3;-9.890846E-1
